date,pokemon,iv_percentage,evaluation
2025-02-11 11:55:21.085560,Delphox,58.9,This Pokemon (Delphox) has no evolutions.
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:55:28.795382,Psyduck,40.3,"
Pokemon: Psyduck
IV Quality: 40.3%
Evolution Recommendation: Not recommended - Low IVs

Possible Evolutions:
- Golduck (Stats +180)"
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:55:44.147499,Nidoran♂,58.1,"
Pokemon: Nidoran♂
IV Quality: 58.1%
Evolution Recommendation: Consider evolving

Possible Evolutions:
- Nidorina (Stats +92)
- Nidoqueen (Stats +232)
- Nidorino (Stats +92)
- Nidoking (Stats +232)"
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:56:04.709111,Drifblim,30.6,This Pokemon (Drifblim) has no evolutions.
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:56:18.048985,Bibarel,41.1,"
Pokemon: Bibarel
IV Quality: 41.1%
Evolution Recommendation: Not recommended - Low IVs

Possible Evolutions:
- Staraptor (Stats +75)"
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:56:43.397683,Sawk,50.0,This Pokemon (Sawk) has no evolutions.
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:56:45.497439,Prinplup,54.0,"
Pokemon: Prinplup
IV Quality: 54.0%
Evolution Recommendation: Consider evolving

Possible Evolutions:
- Empoleon (Stats +125)"
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:56:51.925060,Krabby,29.8,"
Pokemon: Krabby
IV Quality: 29.8%
Evolution Recommendation: Not recommended - Low IVs

Possible Evolutions:
- Kingler (Stats +150)"
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:56:53.138091,Brionne,50.8,"
Pokemon: Brionne
IV Quality: 50.8%
Evolution Recommendation: Consider evolving

Possible Evolutions:
- Primarina (Stats +110)"
--------------------,--------------------,--------------------,--------------------
2025-02-11 11:56:54.043423,Kadabra,85.5,"
Pokemon: Kadabra
IV Quality: 85.5%
Evolution Recommendation: HIGHLY RECOMMENDED

Possible Evolutions:
- Alakazam (Stats +200)"
--------------------,--------------------,--------------------,--------------------
